benchmark_family,instance_id,seed,N,sa_raw_objective,sa_echo_raw_objective,pair_complete,gap_echo_to_sa,echo_beats_sa,echo_ties_sa,echo_loses_sa,eigen_min,eigen_max,condition_number,neg_eigs,edge_prob,num_edges,k_frac,K_card,penalty_weight,kappa_target,neg_frac,budget_total_flips,target_flips_used,echo_final_stage_flips,echo_final_stage_frac,echo_tau0,echo_num_stages,echo_best_stage
portfolio_card,portfolio_card_N200_seed1007,1007,200,-8803.060788652725,-8809.252034803609,1,-6.191246150883671,1,0,0,-586.5806648364063,1365.9063294860862,2.335327040272254,199,,,0.15,30,9.759970292909337,,,400000,160000,160000,0.4,487.9985146454684,6,2
portfolio_card,portfolio_card_N200_seed1008,1008,200,-8770.026800965672,-8777.79577172784,1,-7.768970762168465,1,0,0,-584.4754416567708,1361.0623339815124,2.336383518644608,199,,,0.15,30,9.72498635745226,,,400000,160000,160000,0.4,486.2493178726148,6,2
portfolio_card,portfolio_card_N200_seed1009,1009,200,-8737.0768777962,-8743.281873532404,1,-6.204995736203273,1,0,0,-582.205773341456,1355.707769852012,2.335151382733724,199,,,0.15,30,9.687052747482191,,,400000,160000,160000,0.4,484.3526373741104,6,2
portfolio_card,portfolio_card_N200_seed1010,1010,200,-8759.083518656867,-8764.913014489,1,-5.829495832133034,1,0,0,-583.5956517652083,1358.9085442769233,2.335368848021243,199,,,0.15,30,9.710188006492343,,,400000,160000,160000,0.4,485.5094003246174,6,2
portfolio_card,portfolio_card_N200_seed1011,1011,200,-8821.933946440553,-8829.641436361411,1,-7.707489920858279,1,0,0,-587.9823664122387,1369.2036714995909,2.3364984278788783,199,,,0.15,30,9.783297976149113,,,400000,160000,160000,0.4,489.1648988074569,6,2
portfolio_card,portfolio_card_N200_seed1012,1012,200,-8669.529182382375,-8674.168275825421,1,-4.639093443045567,1,0,0,-577.5726063118332,1344.8797903150862,2.3357617736236174,199,,,0.15,30,9.609880277904702,,,400000,160000,160000,0.4,480.4940138952351,6,2
portfolio_card,portfolio_card_N200_seed1013,1013,200,-8705.673401432223,-8712.345049254682,1,-6.671647822458908,1,0,0,-580.1604581771787,1350.9712478166375,2.335541100598508,199,,,0.15,30,9.652988873071996,,,400000,160000,160000,0.4,482.6494436536001,6,2
portfolio_card,portfolio_card_N200_seed1014,1014,200,-8831.338528764922,-8838.63086723163,1,-7.2923384667083155,1,0,0,-588.5814561435607,1370.5990518978087,2.335234031239068,199,,,0.15,30,9.79326737200415,,,400000,160000,160000,0.4,489.66336860020726,6,2
portfolio_card,portfolio_card_N200_seed1015,1015,200,-8614.937616473675,-8621.299690067424,1,-6.362073593749301,1,0,0,-574.0533618558877,1336.6852502894783,2.3358488091800105,199,,,0.15,30,9.551201116954806,,,400000,160000,160000,0.4,477.56005584773976,6,2
portfolio_card,portfolio_card_N200_seed1016,1016,200,-8758.325086387495,-8763.715969602603,1,-5.390883215108261,1,0,0,-583.604369999391,1358.98731175495,2.335897234173821,199,,,0.15,30,9.710397235158268,,,400000,160000,160000,0.4,485.51986175791495,6,2
portfolio_card,portfolio_card_N200_seed1017,1017,200,-8713.236756142825,-8718.769777557582,1,-5.533021414756149,1,0,0,-580.6007312177715,1351.9418410044418,2.335770616203545,199,,,0.15,30,9.660319516414631,,,400000,160000,160000,0.4,483.01597582073225,6,0
portfolio_card,portfolio_card_N200_seed1018,1018,200,-8785.202760833947,-8792.829419879665,1,-7.626659045718043,1,0,0,-585.4464577819876,1363.2668018136865,2.3359894813663,199,,,0.15,30,9.74103008862354,,,400000,160000,160000,0.4,487.05150443117714,6,1
portfolio_card,portfolio_card_N200_seed1019,1019,200,-8748.913033414092,-8754.649809321352,1,-5.73677590726038,1,0,0,-582.9349763361737,1357.415590900927,2.335853742031351,199,,,0.15,30,9.699157302492225,,,400000,160000,160000,0.4,484.9578651246129,6,2
portfolio_card,portfolio_card_N300_seed1000,1000,300,-19645.29689927142,-19655.34809973095,1,-10.051200459529355,1,0,0,-872.9188346248918,2034.0543578779807,2.3347722923229792,299,,,0.15,45,9.688209113034953,,,600000,240000,240000,0.4,726.6156834776211,6,2
portfolio_card,portfolio_card_N300_seed1001,1001,300,-19606.76682743799,-19618.369432968902,1,-11.602605530912115,1,0,0,-871.278060558886,2030.2875151000003,2.3349371660158598,299,,,0.15,45,9.670054608829783,,,600000,240000,240000,0.4,725.2540956622355,6,2
portfolio_card,portfolio_card_N300_seed1002,1002,300,-19671.606350820275,-19682.346230822957,1,-10.739880002682185,1,0,0,-874.102390451143,2036.7969686152005,2.334968155429478,299,,,0.15,45,9.701319535672038,,,600000,240000,240000,0.4,727.5989651754036,6,2
portfolio_card,portfolio_card_N300_seed1003,1003,300,-19597.047620240195,-19608.47736402072,1,-11.429743780525314,1,0,0,-870.8074144447576,2029.1578094652052,2.3347635097709367,299,,,0.15,45,9.664733531563444,,,600000,240000,240000,0.4,724.8550148672598,6,2
portfolio_card,portfolio_card_N300_seed1004,1004,300,-19968.701098341546,-19978.500238766264,1,-9.799140424718644,1,0,0,-887.2133689343307,2067.3649052352835,2.3348994414147057,299,,,0.15,45,9.846945382135235,,,600000,240000,240000,0.4,738.5209036601442,6,2
portfolio_card,portfolio_card_N300_seed1005,1005,300,-19830.72407441281,-19840.769865272905,1,-10.045790860094712,1,0,0,-881.10096899666,2053.1278363442943,2.3347398930101417,299,,,0.15,45,9.779066555629909,,,600000,240000,240000,0.4,733.4299916722432,6,2
portfolio_card,portfolio_card_N300_seed1006,1006,300,-19770.745799982287,-19782.572450865875,1,-11.826650883587718,1,0,0,-878.5666486435799,2047.228148235769,2.334600649634352,299,,,0.15,45,9.750886683432508,,,600000,240000,240000,0.4,731.3165012574395,6,2
portfolio_card,portfolio_card_N300_seed1007,1007,300,-19875.36036157001,-19887.31988427066,1,-11.959522700650268,1,0,0,-883.1962400807369,2058.0086132229426,2.3344526943298423,299,,,0.15,45,9.8023514469009,,,600000,240000,240000,0.4,735.176358517569,6,2
