scenario_id,scenario_name,seed,N,M,K,L,echo_raw_objective,echo_energy,echo_feasible,echo_runtime_sec,echo_chosen_premium_band,echo_chosen_deductible_band,echo_selected_features_count,echo_selected_reg_features_count,echo_tau0,echo_num_stages,echo_best_stage,echo_steps_used,echo_final_condition_number,echo_final_negative_eigs,echo_final_roughness,sa_raw_objective,sa_energy,sa_feasible,sa_runtime_sec,greedy_raw_objective,greedy_energy,greedy_feasible,gurobi_ran,gurobi_raw_objective,gurobi_energy,gurobi_feasible,gurobi_status,gap_echo_to_sa,gap_echo_to_greedy,gap_echo_to_gurobi,echo_beats_sa,echo_ties_sa,echo_loses_sa,echo_beats_greedy,echo_ties_greedy,echo_beats_gurobi,echo_ties_gurobi,echo_loses_gurobi,w_onehot,w_reg,w_aff
1,S1_cost_only,1018,30,4,5,2,-567.5290931774678,-4111365.418658312,1,19.45517444610596,5,2,3,3,1000000.0,7,6,800000,28727.335936183623,12,1459964.0642610649,-567.5290931774678,-4111365.418658312,1.0,20.280581700000003,1063.519664835062,-4109734.3699002992,1,1,-567.5290931774678,-4111365.418658312,1,OPTIMAL,0.0,-1631.0487580125298,0.0,0,1,0,1,0,0,1,0,205539.89447825676,411079.7889565135,0.0
1,S1_cost_only,1019,30,4,5,2,-445.7591273208759,-4119113.053658707,1,20.15351676940918,5,4,3,3,1000000.0,7,6,800000,31245.26621771145,12,1462652.087763323,-445.7591273208759,-4119113.053658707,1.0,20.1224057,2714.8109105621425,-4115952.483620824,1,1,-445.7591273208759,-4119113.053658707,1,OPTIMAL,0.0,-3160.5700378830184,0.0,0,1,0,1,0,0,1,0,205933.3647265693,411866.7294531386,0.0
1,S1_cost_only,1000,40,4,5,3,3347.612670864285,-10235232.949873984,1,20.53669238090515,5,1,4,4,1000000.0,7,6,800000,212803.74248689247,13,4955903.9910216695,3347.612670864285,-10235232.949873984,1.0,20.4912898,5223.538685848072,-10233357.023859,1,1,3347.612670864285,-10235232.949873984,1,OPTIMAL,0.0,-1875.9260149837876,0.0,0,1,0,1,0,0,1,0,301134.72242778965,602269.4448555793,0.0
1,S1_cost_only,1001,40,4,5,3,661.905665371015,-8887645.378220715,1,20.30962872505188,5,4,4,4,1000000.0,7,6,800000,231543.1267778288,13,4302341.667416792,2241.155286407352,-8886066.12859968,1.0,26.2277257,2841.155286407352,-8885466.12859968,1,1,661.905665371015,-8887645.378220715,1,OPTIMAL,-1579.249621036337,-2179.249621036337,0.0,1,0,0,1,0,0,1,0,261420.80246723775,522841.6049344756,0.0
1,S1_cost_only,1002,40,4,5,3,582.0299515665233,-6691317.794421136,1,20.103084802627563,5,3,4,4,1000000.0,7,6,800000,184517.45696573076,13,3239177.8576071034,582.0299515665233,-6691317.794421136,1.0,26.8128236,1403.2743821509457,-6690496.549990552,1,1,582.0299515665233,-6691317.794421136,1,OPTIMAL,0.0,-821.2444305844224,0.0,0,1,0,1,0,0,1,0,196820.5830697853,393641.16613957065,0.0
1,S1_cost_only,1003,40,4,5,3,2519.423290341223,-9518083.199030671,1,21.10982847213745,5,1,4,4,1000000.0,7,6,800000,244913.9671171517,13,4608370.751680023,2519.423290341223,-9518083.199030671,1.0,25.5481904,3319.423290341223,-9517283.199030671,1,1,2519.423290341223,-9518083.199030671,1,OPTIMAL,0.0,-800.0,0.0,0,1,0,1,0,0,1,0,280017.7241859122,560035.4483718243,0.0
1,S1_cost_only,1004,40,4,5,3,4523.8917166882775,-10547542.894663978,1,20.232399463653564,5,3,4,4,1000000.0,7,6,800000,264178.4177478429,13,5107608.5215932,3671.141518949178,-10548395.64486172,1.0,23.7160234,6662.851683721978,-10545403.934696946,1,1,3671.141518949178,-10548395.64486172,1,OPTIMAL,852.7501977390993,-2138.9599670337,852.7501977390993,0,0,1,1,0,0,0,1,310354.9054817843,620709.8109635686,0.0
1,S1_cost_only,1005,40,4,5,3,197.65612140393927,-10604968.72199917,1,20.784687042236328,5,1,4,4,1000000.0,8,7,800000,94786.83063839364,13,5133418.11527594,1826.14654512744,-10603340.231575448,1.0,21.6050867,4529.920852930627,-10600636.457267644,1,1,197.65612140393927,-10604968.72199917,1,OPTIMAL,-1628.4904237235005,-4332.264731526688,5.684341886080803e-14,1,0,0,1,0,0,1,0,311916.65818001697,623833.3163600339,0.0
1,S1_cost_only,1006,40,4,5,3,690.4654214602224,-8285602.061866436,1,21.06994128227234,5,2,4,4,1000000.0,7,6,800000,210772.36512443773,13,4010973.035627696,-33.458605980717266,-8286325.985893877,1.0,21.1837109,2528.5346369164936,-8283763.99265098,1,1,-33.458605980717266,-8286325.985893877,1,OPTIMAL,723.9240274409397,-1838.0692154562712,723.9240274409397,0,0,1,1,0,0,0,1,243714.4860967028,487428.9721934056,0.0
1,S1_cost_only,1007,40,4,5,3,487.29092140875446,-7761912.48108768,1,20.42606520652771,5,3,4,4,1000000.0,7,6,800000,173940.6483587403,13,3757328.1582269873,487.29092140875446,-7761912.48108768,1.0,21.3616411,1287.2909214087545,-7761112.481087681,1,1,487.29092140875446,-7761912.48108768,1,OPTIMAL,0.0,-800.0,0.0,0,1,0,1,0,0,1,0,228305.87564732615,456611.7512946524,0.0
1,S1_cost_only,1008,40,4,5,3,541.5477405020115,-7931716.947580817,1,20.20738649368286,5,4,4,4,1000000.0,7,6,800000,176133.33935381396,13,3839618.2332704696,541.5477405020115,-7931716.947580817,1.0,19.8351702,1861.018535647244,-7930397.476785673,1,1,252.36351578988703,-7932006.13180553,1,OPTIMAL,0.0,-1319.4707951452326,289.18422471212443,0,1,0,1,0,0,0,1,233301.720450627,466603.440901254,0.0
1,S1_cost_only,1009,40,4,5,3,-188.2547545858797,-8011424.600109638,1,20.335280179977417,5,2,4,4,1000000.0,7,6,800000,112664.3715359248,13,3877856.234547692,-188.2547545858797,-8011424.600109638,1.0,20.2859574,820.2245062298434,-8010416.120848821,1,1,-188.2547545858797,-8011424.600109637,1,OPTIMAL,0.0,-1008.4792608157233,0.0,0,1,0,1,0,0,1,0,235624.59839279563,471249.1967855913,0.0
1,S1_cost_only,1010,40,4,5,3,206.9588472151163,-9893544.384596622,1,20.14982581138611,5,2,4,4,1000000.0,7,6,800000,201394.32626612557,13,4789075.114504167,200.27917927882984,-9893551.064264558,1.0,19.570278400000003,700.2791792788298,-9893051.064264558,1,1,200.27917927882984,-9893551.064264558,1,OPTIMAL,6.6796679362864495,-493.3203320637135,6.6796679362864495,0,0,1,1,0,0,0,1,290992.6865718775,581985.373143755,0.0
1,S1_cost_only,1011,40,4,5,3,165.33873021823365,-9517241.741672186,1,20.61652016639709,5,4,4,4,1000000.0,7,6,800000,171394.22194672428,13,4606935.964646526,258.99198629124703,-9517148.088416113,1.0,19.5708536,165.33873021823365,-9517241.741672184,1,1,90.35587497163397,-9517316.724527432,1,OPTIMAL,-93.65325607301338,0.0,74.98285524659968,1,0,0,0,1,0,0,1,279923.7376588942,559847.4753177884,0.0
1,S1_cost_only,1012,40,4,5,3,2532.2021713119548,-9341055.205262337,1,20.394089937210083,5,2,4,4,1000000.0,7,6,800000,204651.0672141032,13,4522726.297339722,837.250845767473,-9342750.156587882,1.0,20.059769300000003,4936.155717159543,-9338651.25171649,1,1,837.250845767473,-9342750.156587882,1,OPTIMAL,1694.9513255444815,-2403.9535458475884,1694.9513255444815,0,0,1,1,0,0,0,1,274811.39433628385,549622.7886725677,0.0
1,S1_cost_only,1013,40,4,5,3,3815.959548164141,-11727731.87695311,1,20.182368516922,5,4,4,4,1000000.0,7,6,800000,301936.404507298,13,5678604.701550244,1663.4455250014598,-11729884.390976273,1.0,19.6147285,3815.959548164141,-11727731.87695311,1,1,1663.4455250014598,-11729884.390976273,1,OPTIMAL,2152.514023162681,0.0,2152.514023162681,0,0,1,0,1,0,0,1,345045.52460297855,690091.0492059571,0.0
1,S1_cost_only,1014,40,4,5,3,2642.8910821717554,-8237793.467259762,1,20.690388679504395,5,4,4,4,1000000.0,7,6,800000,216504.88885698133,13,3988703.0348636727,2642.8910821717554,-8237793.467259762,1.0,19.327467,3242.8910821717554,-8237193.467259762,1,1,2642.8910821717554,-8237793.467259761,1,OPTIMAL,0.0,-600.0,0.0,0,1,0,1,0,0,1,0,242365.775245351,484731.550490702,0.0
1,S1_cost_only,1015,40,4,5,3,5313.397889093461,-8547569.105086796,1,20.199941396713257,5,2,4,4,1000000.0,7,6,800000,207244.0469111229,13,4139900.0168246985,5313.397889093461,-8547569.105086796,1.0,19.3137768,5913.555447515248,-8546968.947528373,1,1,5313.397889093461,-8547569.105086796,1,OPTIMAL,0.0,-600.1575584217862,0.0,0,1,0,1,0,0,1,0,251555.36773458496,503110.7354691699,0.0
1,S1_cost_only,1016,40,4,5,3,-378.52583758404967,-9808012.841878591,1,20.11682939529419,5,2,4,4,1000000.0,7,6,800000,162308.5352597954,13,4747349.882545546,-378.52583758404967,-9808012.841878591,1.0,19.4097021,421.47416241595033,-9807212.841878591,1,1,-378.52583758404967,-9808012.841878591,1,OPTIMAL,0.0,-800.0,0.0,0,1,0,1,0,0,1,0,288459.8328247355,576919.665649471,0.0
1,S1_cost_only,1017,40,4,5,3,713.3381753958083,-7379581.604624715,1,21.41103410720825,5,3,4,4,1000000.0,7,6,800000,162949.6068231785,13,3572391.9631993314,713.3381753958083,-7379581.604624715,1.0,20.1544365,1453.23058462147,-7378841.712215489,1,1,653.2305846214699,-7379641.712215489,1,OPTIMAL,0.0,-739.8924092256616,60.107590774338405,0,1,0,1,0,0,0,1,217067.4983176503,434134.9966353006,0.0
